parlamentarier_name	parlamentarier_id	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	interessenbindung_beschreibung	interessenbindung_von	interessenbindung_bis	interessenbindung_art	interessenbindung_funktion_im_gremium	interessenbindung_deklarationstyp	interessenbindung_status	interessenbindung_hauptberuflich	interessenbindung_behoerden_vertreter	interessenbindung_wirksamkeit	organisation_id	verguetung	verguetung_jahr	verguetung_beschreibung	organisation_name	organisation_ort	organisation_rechtsform	organisation_typ	organisation_vernehmlassung	organisation_interessengruppe1	organisation_interessengruppe1_branche	organisation_interessengruppe1_branche_kommission_abkuerzung
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"deklariert"	"0"		"tief"	311	"0"	2021	"Ehrenamtlich"	"Arbeitskreis Sicherheit und Wehrtechnik"	"Zürich"	"Informelle Gruppe"	"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Rüstungsindustrie"	"Sicherheit"	"SiK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	637				"Biodiversität und Artenschutz"	"Zürich"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Umwelt & Natur"	"Umwelt"	"UREK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	640				"Familienpolitik"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	652	-1	2021	"Bezahlendes Mitglied"	"Association romande contre la drogue ARCD"	"Lausanne"	"Verein"	"EinzelOrganisation"	"punktuell"	"Gesundheit"	"Gesundheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	1035	-1	2021	"Bezahlendes Mitglied"	"Société des Officiers du Valais romand (SOVR)"	"Monthey"	"Verein"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Militär"	"Sicherheit"	"SiK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1278				"Auslandschweizer"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Staatspolitik allgemein"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1622				"Tourismus PGT"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Tourismus/Gastronomie"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1623				"Lateinische Konsumfragen"	"Lausanne"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Konsumentenschutz"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1661				"Komplementärmedizin"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Arztmedizin"	"Gesundheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1751				"Sport"	"Ittigen"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Sport allgemein"	"Sport"	"WBK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1761				"ePower - ICT für die Schweiz"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"IT"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2021-02-02		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1852				"Hauptstadtregion Schweiz"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Kantone/Regionen"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	1976	-1	2021	"Bezahlendes Mitglied"	"Schweizerischer Anwaltsverband SAV"	"Bern"	"Verein"	"DachOrganisation,LeistungsErbringer,dezidierteLobby"	"punktuell"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2020				"Bergbevölkerung"	"Bern"	"Parlamentarische Gruppe"	"dezidierteLobby"	"nie"	"Berggebiete"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2415				"Pfadibewegung Schweiz"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Anwalt, Inhaber und Geschäftsführer"			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	1	"N"	"tief"	2650	1	2021		"Addor & Künzi avocats SA"	"Sion"	"AG"	"EinzelOrganisation"	"nie"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"praesident"	"nicht deklarationspflicht"	"deklariert"	"0"	"N"	"tief"	2651	"0"	2021	"Ehrenamtlich"	"Penalty d'Or"	"Savièse"	"Verein"	"EinzelOrganisation"	"nie"	"Sport allgemein"	"Sport"	"WBK"
